Ano base,UF,Classe Substância Mineral,Substância Mineral,Quantidade (litros) Garrafão,Quantidade (litros) Garrafa Plástica,Quantidade (litros) Garrafa de Vidro,Quantidade (litros) Copo,Quantidade (litros) Outras Embalagens,Valor (R$) Garrafão,Valor (R$) Garrafa Plástica,Valor (R$) Garrafa de Vidro,Valor (R$) Copo,Valor (R$) Outras Embalagens,Quantidade (litros) Composição Produtos Industrializados,Valor (R$) Composição Produtos Industrializados,Unidade de Medida
2010,AC,Água,Água,38315345.0,1309740.0,0.0,0.0,0.0,3023041.51,893805.05,0.0,0.0,0.0,0.0,0.0,l
2010,AL,Água,Água,114247245.0,40200141.39,0.0,6278109.2,0.0,17827642.93,32721765.87,0.0,3546006.93,0.0,0.0,0.0,l
2010,AM,Água,Água,123936416.0,19768794.2,0.0,297157.2,29610990.0,14123668.35,18215888.9,0.0,348790.9,8729111.7,32588811.0,13404.47,l
2010,AP,Água,Água,9218676.0,1132581.0,0.0,1981246.72,32586.0,608503.83,93490.15,0.0,129542.9,2172.4,0.0,0.0,l
2010,BA,Água,Água,367148670.0,73497479.32,0.0,9850320.0,0.0,29279716.74,61025058.46,0.0,5329528.41,0.0,1086434191.0,24465852.29,l
2010,CE,Água,Água,201107722.48,56164705.36,0.0,1523257.96,799808.0,27919926.27,53592698.54,0.0,1931356.26,257740.8,78185.0,39055.0,l
2010,DF,Água,Água,58672428.0,3900725.0,0.0,1290919.4,638755.0,8127135.75,3208126.53,0.0,1408452.45,281052.2,2.1,0.12,l
2010,ES,Água,Água,66745716.67,16758796.61,64564.32,247764.8,0.0,3786662.78,10635748.13,108119.11,242661.73,0.0,0.0,0.0,l
2010,GO,Água,Água,80797293.39,38222324.59,0.0,5850920.6,3891171.0,26804397.17,23621309.44,0.0,3323700.0,2723819.7,0.0,0.0,l
2010,MA,Água,Água,43095370.0,17778004.46,0.0,1655888.0,385015.32,6707311.01,20792095.1,0.0,1435540.5,629069.17,0.0,0.0,l
2010,MG,Água,Água,220207274.68,140812220.47,3509814.4,2986418.16,757788.0,19658343.28,126718345.33,5034615.22,3091596.6,370965.88,241904.8,17587.13,l
2010,MS,Água,Água,20260747.0,9003356.1,0.0,798401.2,174815.0,3043678.23,9275840.33,0.0,350747.27,87407.5,0.0,0.0,l
2010,MT,Água,Água,159402669.84,21163290.32,0.0,2504238.0,0.0,21521849.29,19742243.09,0.0,2234500.39,0.0,0.0,0.0,l
2010,PA,Água,Água,270897954.96,28291875.94,0.0,1169020.0,0.0,14684433.78,15382064.12,0.0,627364.96,0.0,0.0,0.0,l
2010,PB,Água,Água,67762407.0,9330406.0,0.0,364628.0,0.0,8638177.11,9379864.46,0.0,442700.83,0.0,9641896.0,36420573.56,l
2010,PE,Água,Água,901929156.6,18298231.8,245143.2,429324.1,83490.0,66703015.63,13920200.9,192432.62,352588.0,3733.74,490870000.0,63813.1,l
2010,PI,Água,Água,20427760.0,2768478.0,0.0,548600.8,0.0,1783898.46,2222977.25,0.0,571057.28,0.0,0.0,0.0,l
2010,PR,Água,Água,157382041.94,37947230.02,1243332.0,6446859.63,300608.07,26702157.81,28280935.23,1310559.58,3463810.12,238814.52,1724439.0,3406889.7,l
2010,RJ,Água,Água,349610393.6,81739463.44,566091.0,13461604.4,3947018.0,17786059.28,47432244.36,177646.0,3028518.18,154286.24,0.0,0.0,l
2010,RN,Água,Água,166521503.0,4695186.95,0.0,827740.77,0.0,7185919.51,5414780.58,0.0,632429.89,0.0,0.0,0.0,l
2010,RO,Água,Água,101158152.0,9050980.96,0.0,890495.8,0.0,10379235.84,7140167.02,0.0,682219.56,0.0,0.0,0.0,l
2010,RR,Água,Água,3306611.0,47968.0,0.0,0.0,869284.44,883438.05,397571.95,0.0,0.0,152124.8,0.0,0.0,l
2010,RS,Água,Água,154599773.81,129146424.11,354732.0,3025262.0,7815652.0,32301146.71,118968636.56,382352.24,3649167.44,347363.42,0.0,0.0,l
2010,SC,Água,Água,94522244.36,22145712.64,3048.0,669897.2,2246380.0,14167133.46,13012250.56,1983.92,633621.57,1030787.38,0.0,0.0,l
2010,SE,Água,Água,66678162.54,13904168.13,0.0,2041772.55,0.0,8501127.64,8819619.66,0.0,2066515.35,0.0,0.0,0.0,l
2010,SP,Água,Água,596796008.18,476075311.5,7041258.0,26409781.05,3861621.7,62748841.83,416518100.43,8062460.2,25610360.9,4068074.19,858270198.7,15375502.84,l
2010,TO,Água,Água,25281660.0,2294146.74,0.0,217742.4,27050.0,1876461.14,1813996.55,0.0,203162.08,13418.0,0.0,0.0,l
2011,AC,Água,Água,56025347.6,77196.0,0.0,0.0,0.0,3618790.98,68881.84,0.0,0.0,0.0,0.0,0.0,l
2011,AL,Água,Água,167394793.2,39507613.24,0.0,5315412.8,0.0,22259781.96,31933077.75,0.0,2966630.43,0.0,0.0,0.0,l
2011,AM,Água,Água,130172794.0,22907274.0,0.0,498158.0,30678705.0,17204810.13,25373779.84,0.0,587783.85,8455964.1,30500571.0,12545.56,l
2011,AP,Água,Água,7026590.0,1544881.2,0.0,1084728.4,0.0,650846.61,112704.34,0.0,69284.32,0.0,0.0,0.0,l
2011,BA,Água,Água,475569486.44,72131338.21,0.0,8988940.4,31095.0,39770792.6,49321720.38,0.0,3320677.91,27807.05,1241966097.32,27382287.6,l
2011,CE,Água,Água,247942109.67,61853496.54,0.0,2109331.6,1241705.0,32832678.4,51023350.65,0.0,2258795.17,565707.11,0.0,0.0,l
2011,DF,Água,Água,60820958.6,4217620.0,0.0,851650.2,861493.0,9111563.85,2327032.38,0.0,977056.81,470212.42,0.0,0.0,l
2011,ES,Água,Água,63924241.0,12813200.38,92093.0,476634.52,0.0,3156197.26,10729400.73,181396.26,492942.7,0.0,0.0,0.0,l
2011,GO,Água,Água,102471424.95,30854630.44,0.0,1279188.32,6173588.0,23109433.2,14502039.2,0.0,1134373.52,4929664.5,56198869.0,104413.14,l
2011,MA,Água,Água,52222510.0,14567992.2,0.0,1333498.4,86059.92,8099235.73,15294737.22,0.0,1678949.28,67104.0,84067561.4,62955.73,l
2011,MG,Água,Água,176946583.24,169953874.91,3369101.0,3486401.1,834965.0,16062433.29,139701238.19,6973569.04,3308667.39,610834.97,296413.45,20748.25,l
2011,MS,Água,Água,26081670.0,8032430.35,0.0,381433.44,224620.0,2964484.53,8975055.77,0.0,348279.61,117761.0,9033144.95,4373059.2,l
2011,MT,Água,Água,182522629.2,23465160.4,0.0,2335858.4,0.0,24051690.86,21631949.63,0.0,2230249.81,0.0,0.0,0.0,l
2011,PA,Água,Água,245205884.0,31353410.52,0.0,1342101.8,0.0,14761093.73,17131669.25,0.0,962178.08,0.0,859736000.0,116801.5,l
2011,PB,Água,Água,98066645.0,11268992.0,0.0,559234.17,0.0,9330769.1,10656772.62,0.0,557140.26,0.0,66362961.0,23147320.35,l
2011,PE,Água,Água,971119135.12,13497370.43,299673.6,551172.0,0.0,69904529.33,8037885.3,246759.5,419383.39,0.0,1174731272.49,149096.93,l
2011,PI,Água,Água,21504280.0,2991744.0,0.0,509635.0,0.0,1937646.39,2327788.07,0.0,506595.53,0.0,0.0,0.0,l
